timestamp,skinId,source,price,volume
2026-01-28T16:46:13.972754+00:00,PP-Bizon-Thermal-Currents-Factory-New,steam,0.21,643
2026-01-28T16:46:15.041743+00:00,Glock-18-Off-World-Factory-New,steam,6.53,74
2026-01-28T16:46:16.117400+00:00,M4A1-S-Stratosphere-Battle-Scarred,steam,13.83,55
2026-01-28T16:46:17.165855+00:00,Sticker-Boom-Trail,steam,0.11,3173
2026-01-28T16:46:18.163027+00:00,P250-X-Ray-Minimal-Wear,steam,0.76,239
2026-01-28T16:46:19.282376+00:00,Five-SeveN-Fraise-Crane-Battle-Scarred,steam,1.2,63
2026-01-28T16:46:20.502896+00:00,MP9-Cobalt-Paisley-Field-Tested,steam,0.81,324
2026-01-28T16:46:21.649320+00:00,Glock-18-Coral-Bloom-Field-Tested,steam,0.75,339
2026-01-28T16:46:22.621820+00:00,Desert-Eagle-Blue-Ply-Minimal-Wear,steam,0.94,205
2026-01-28T16:46:23.707927+00:00,M4A4-Naval-Shred-Camo-Minimal-Wear,steam,0.24,494
2026-01-28T16:46:24.815346+00:00,P90-Desert-DDPAT-Field-Tested,steam,0.6,32
2026-01-28T16:46:25.981779+00:00,USP-S-Sleeping-Potion-Well-Worn,steam,12.77,13
2026-01-28T16:46:26.980770+00:00,SSG-08-Calligrafaux-Factory-New,steam,4.51,116
2026-01-28T16:46:28.055640+00:00,Sticker-Team-Spirit-Holo-Stockholm-2021,steam,11.17,11
2026-01-28T16:46:29.318549+00:00,USP-S-Ticket-to-Hell-Battle-Scarred,steam,0.89,161
2026-01-28T16:46:31.337405+00:00,MP9-Featherweight-Minimal-Wear,steam,0.31,420
2026-01-28T16:47:15.593016+00:00,AK47-Redline-FT,steam,48.62,80
2026-01-28T16:47:17.668737+00:00,AWP-Asiimov-BS,steam,112.14,16
2026-01-28T16:47:18.664190+00:00,Danger-Zone-Case,steam,2.04,8430
2026-01-28T16:47:19.742481+00:00,Fracture-Case,steam,0.71,44967
2026-01-28T16:47:20.787025+00:00,Dreams-Nightmares-Case,steam,1.61,100957
2026-01-28T16:47:21.873735+00:00,Recoil-Case,steam,0.36,89942
2026-01-28T16:47:23.125610+00:00,Revolution-Case,steam,0.36,90221
2026-01-28T16:47:24.194392+00:00,Kilowatt-Case,steam,0.31,105072
2026-01-28T16:47:25.444058+00:00,Fever-Case,steam,0.98,80989
2026-01-28T16:47:26.540592+00:00,Sealed-Genesis-Terminal,steam,0.34,57308
2026-01-28T16:47:27.611656+00:00,Gamma-2-Case,steam,4.79,2824
2026-01-28T16:47:28.658789+00:00,Glove-Case,steam,20.72,1823
2026-01-28T16:47:29.743335+00:00,MP7-Bloodsport-Battle-Scarred,steam,51.07,36
2026-01-28T16:47:30.877105+00:00,M4A1-S-Black-Lotus-Field-Tested,steam,9.15,721
2026-01-28T16:47:31.929100+00:00,P90-Teardown-Field-Tested,steam,0.27,946
2026-01-28T16:47:33.000576+00:00,AK-47-Legion-of-Anubis-Field-Tested,steam,50.5,179
2026-01-28T16:47:34.063400+00:00,AK-47-Ice-Coaled-Field-Tested,steam,7.5,910
2026-01-28T16:47:35.387595+00:00,MP7-Fade-Factory-New,steam,32.46,263
2026-01-28T16:47:36.586584+00:00,Gamma-Case,steam,4.74,2307
2026-01-28T16:47:42.653250+00:00,Revolver-Case,steam,3.76,1634
2026-01-28T16:48:15.182769+00:00,UMP-45-Wild-Child-Well-Worn,steam,4.78,121
2026-01-28T16:48:16.219665+00:00,Desert-Eagle-Directive-Minimal-Wear,steam,7.97,30
2026-01-28T16:48:17.904349+00:00,AUG-Stymphalian-Field-Tested,steam,5.63,70
2026-01-28T16:48:18.979430+00:00,Sticker-Strike-A-Pose,steam,0.11,360
2026-01-28T16:48:20.044322+00:00,Music-Kit-Scarlxrd-King-Scar,steam,5.1,62
2026-01-28T16:48:21.173090+00:00,Glock-18-Winterized-Minimal-Wear,steam,0.29,525
2026-01-28T16:48:22.299630+00:00,USP-S-Guardian-Factory-New,steam,13.98,42
2026-01-28T16:48:23.298294+00:00,Galil-AR-Eco-Field-Tested,steam,17.89,47
2026-01-28T16:48:24.429536+00:00,MAC-10-Sakkaku-Well-Worn,steam,0.64,331
2026-01-28T16:48:25.563221+00:00,StatTrak-AK-47-Slate-Well-Worn,steam,17.95,43
2026-01-28T16:48:26.688394+00:00,StatTrak-Glock-18-Block-18-Field-Tested,steam,2.3,210
2026-01-28T16:48:27.753317+00:00,PP-Bizon-Thermal-Currents-Factory-New,steam,0.21,643
2026-01-28T16:48:28.866458+00:00,Glock-18-Off-World-Factory-New,steam,6.53,74
2026-01-28T16:48:29.949931+00:00,M4A1-S-Stratosphere-Battle-Scarred,steam,13.82,55
2026-01-28T16:48:31.098856+00:00,Sticker-Boom-Trail,steam,0.11,3173
2026-01-28T16:48:32.142123+00:00,P250-X-Ray-Minimal-Wear,steam,0.76,239
2026-01-28T16:48:33.169668+00:00,Five-SeveN-Fraise-Crane-Battle-Scarred,steam,1.2,63
2026-01-28T16:48:34.204842+00:00,MP9-Cobalt-Paisley-Field-Tested,steam,0.81,324
2026-01-28T16:48:35.343601+00:00,Glock-18-Coral-Bloom-Field-Tested,steam,0.77,339
